Componente,Unidade,Exigencias,LimInf,LimSup,Algodao_Farelo_39,Amido,Arroz_Farelo,Arroz_Farelo_Deseng.,Carne_e_Ossos_Farinha_50,Citrus_Polpa,Mandioca_Integral_Raspa,"Milho_7,88",Milho_Farelo_de_Glúten_60,oleo_de_Soja,Soja_Farelo_48,Trigo_Farelo,Lisina_-_HCL,Metionina,Fosfato_BicAlcico,CalcArio_Calcitico,Sal_Comum,Excipiente
Tipo_de_Alimento,-,0,1000000,1000000,1,1,1,1,2,1,1,1,1,1,1,1,4,4,3,3,3,3
Preco,R$/kg,0,1000000,1000000,"0,56","1,33","0,46","0,49","0,54","0,45","0,24","0,65","0,88","1,12","0,88","0,54","4,43","3,54","2,32","0,12","0,54","0,11"
Materia_Seca,%,0,1000000,1000000,"89,83","88,5","89,34","89,72","93,95","88,44","87,67","87,48","91,11","99,6","89,18","88,38",100,100,100,100,100,100
Energia_Bruta,Kcal/kg,0,1000000,1000000,"39,21",0,"13,13","15,29","50,36","6,37","2,47","7,88","61,07",0,"48,1","15,62","85,81","59,38",0,0,0,0
Energia_Met_Aves,Kcal/kg,0,1000000,1000000,"78,73",0,"77,7","77,7","81,5","27,7",46,87,94,0,"91,4",77,0,0,0,0,0,0
Energia_Met_Galinhas,Kcal/kg,0,1000000,1000000,"30,87",0,"10,2","11,88","41,04","1,76","1,14","6,86","57,41",0,"43,96","12,03",0,0,0,0,0,0
Energia_Met_Verd_Aves,Kcal/kg,2950,1,1,"1,37",0,"14,49","1,65","12,65","2,02","0,59","3,65","2,3","99,6","1,45","3,5",0,0,0,0,0,0
Proteina_Bruta,%,"19,8",1,1,85,0,"78,5",62,70,0,20,92,95,95,50,65,0,0,0,0,0,0
Coef_Dig_PB_Aves,%,0,1000000,1000000,"1,16",0,"11,37","1,02","8,86",0,"0,12","3,36","2,19","94,62","0,73","2,28",0,0,0,0,0,0
PB_Digestivel_Aves,%,0,1000000,1000000,"0,74",0,"2,37","0,49","0,39","0,45","0,08","1,91","1,21","52,57","0,77","1,54",0,0,0,0,0,0
Lisina_Dig_,%,"1,131",3,3,0,0,"0,02",0,"0,08","0,08",0,"0,03","0,02","6,94","0,1",0,0,0,0,0,0,0
Metionina_Dig_,%,"0,452",3,3,4,"87,7","22,7",26,0,0,"67,85","62,66","15,8",0,3,"31,35",0,0,0,0,0,0
Met_Cis_Dig_,%,"0,826",3,3,"13,97",0,"8,07","10,86",0,"12,7","5,42","1,73","1,12",0,"4,19","9,5",0,0,0,0,0,0
Treonina_Dig_,%,"0,735",3,3,"29,4",0,"21,53","24,3",0,0,"11,75","11,93","6,39",0,"14,93","40,1",0,0,0,0,0,0
Triptofano_Dig_,%,"0,204",3,3,17,0,"12,58","15,8",0,0,"4,27","3,38","8,63",0,"12,28","13,64",0,0,0,0,0,0
Arginina_Dig_,%,"1,221",3,3,"29,07","87,7","44,67","51,84","0,13","61,1","75,59","72,95","25,02",0,"29,74","55,06",0,0,0,0,0,0
Gli_Ser_Dig_,%,"1,515",3,3,42,"97,1","55,4","55,4",0,0,93,"91,8",98,0,27,"47,3",0,0,0,0,0,0
Valina_Dig_,%,"0,882",3,3,"12,21","85,16","24,75","28,72",0,0,"70,3","66,97","24,52",0,"8,03","26,04",0,0,0,0,0,0
Isoleucina_Dig_,%,"0,769",3,3,"30,83","2,54","27,99","33,98",0,0,"10,71","7,71","1,62",0,"25,9","38,52",0,0,0,0,0,0
Leucina_Dig_,%,"1,221",3,3,"83,62","87,7","80,36","79,64","62,88","82,19","84,07","86,21","89,51","99,6","83,48","83,68",0,0,0,0,0,0
Histidina_Dig_,%,"0,418",3,3,"6,21",0,"8,98","10,08","31,07","6,26","3,6","1,27","1,6",0,"5,7","4,7",0,0,100,100,100,100
Fenilalanina_Dig_,%,"0,713",3,3,"1,34",0,"1,4","1,59","0,54","0,75","0,52","0,29","0,13",0,"2,11","1,03",0,0,0,0,0,0
Fen_Tir_Dig_,%,"1,301",3,3,"0,11",0,"0,04","0,04","0,59","0,07","0,03","0,02","0,01",0,"0,02","0,02",0,0,0,0,"39,7",0
Gordura,%,0,1000000,1000000,"0,04",0,"0,06","0,07","0,6","0,05","0,05","0,06","0,05",0,"0,05","0,06",0,0,0,0,"59,6",0
Coef_Dig_Gordura_Aves,%,0,1000000,1000000,4170,3737,4335,3740,3984,3701,3621,3940,5010,9333,4161,3914,4901,5684,0,0,0,0
Gordura_Dig_Aves,%,0,1000000,1000000,1947,3528,2521,1795,2591,1100,2973,3381,3696,8790,2295,1795,3762,4858,0,0,0,0
Acido_Linoleico,%,"1,04",5,5,2039,3536,2605,1897,0,0,3005,3404,3701,0,2373,1911,3762,4858,0,0,0,0
Acido_Linolenico,%,0,1000000,1000000,2173,0,3143,0,2701,0,3192,3500,3868,9200,2590,2119,3762,4858,0,0,0,0
Amido,%,0,1000000,1000000,"1,19",0,"0,49","0,54","2,17",0,0,"0,19","0,91",0,"2,71","0,47","99,8",0,0,0,0,0
Fibra_Bruta,%,0,1000000,1000000,"0,47",0,"0,2","0,25","0,54",0,0,"0,15","1,33",0,"0,6","0,18",0,"99,2",0,0,0,0
FDN,%,0,1000000,1000000,"0,94",0,"0,38","0,43","0,92",0,0,"0,29","2,27",0,"1,22","0,43",0,0,0,0,0,0
FDA,%,0,1000000,1000000,"0,98",0,"0,35","0,42","1,29",0,0,"0,27","1,92",0,"1,65","0,37",0,0,0,0,0,0
Ext_Nao_Nitrogenado,%,0,1000000,1000000,"0,36",0,"0,12","0,14","0,22",0,0,"0,05","0,29",0,"0,61","0,19",0,0,0,0,0,0
Coef_Dig_ENN_Aves,%,0,1000000,1000000,"3,96",0,"0,85","0,97","3,26",0,0,"0,34","1,88",0,"3,26","0,93",0,0,0,0,0,0
ENN_Dig_Ave,%,0,1000000,1000000,"2,54",0,"1,1","1,27","7,28",0,0,"0,6","4,2",0,"4,23","0,97",0,0,0,0,0,0
ENN_Nao_Dig__FB_Aves,%,0,1000000,1000000,"1,35",0,"0,53","0,62","1,83",0,0,"0,33","2,68",0,"2,08","0,52",0,0,0,0,0,0
Materia_Orgânica,%,0,1000000,1000000,"0,95",0,"0,34","0,4","1,21",0,0,"0,24","2,39",0,"2,05","0,37",0,0,0,0,0,0
Materia_Mineral,%,0,1000000,1000000,"1,85",0,"0,71","0,82","2,43",0,0,"0,9","10,35",0,"3,4","0,73",0,0,0,0,0,0
Ca,%,"0,758",2,2,"0,89",0,"0,28","0,33","0,68",0,0,"0,21","1,19",0,"1,14","0,34",0,0,0,0,0,0
P_total,%,0,1000000,1000000,"1,89",0,"0,44","0,51","1,21",0,0,"0,34","3,74",0,"2,31","0,47",0,0,0,0,0,0
P_fit_,%,0,1000000,1000000,"2,66",0,"0,78","0,85","2,1",0,0,"0,58","6,95",0,"3,86","0,77",0,0,0,0,0,0
P_disp_,%,"0,354",2,2,"0,43",0,"0,11","0,1","10,56","1,57","0,2","0,03","0,03",0,"0,31","0,14",0,0,"24,5","37,7",0,0
P_dig_,%,0,1000000,1000000,"1,03",0,"1,67","1,89","5,28","0,2","0,09","0,25","0,47",0,"0,63","0,97",0,0,"18,5",0,0,0
Sodio,%,"0,2",2,2,"0,59",0,"1,43","1,61",0,"0,13","0,06","0,19","0,41",0,"0,39","0,64",0,0,0,0,0,0
Cloro,%,"0,18",2,2,"0,44",0,"0,24","0,28","4,75","0,07","0,03","0,06","0,06",0,"0,24","0,33",0,0,"18,5",0,0,0
Potassio,%,"0,58",2,2,"0,39",0,"0,48","0,55","3,27",0,"0,12","0,11","0,15",0,"0,28","0,48",0,0,"12,9",0,0,0
Magnesio,%,0,1000000,1000000,"0,48",0,"0,81","0,75","0,42",0,"0,09","0,09","0,06",0,"0,23","0,43",0,0,"0,91","0,23",0,0
Enxofre,%,0,1000000,1000000,"0,33",0,"0,16","0,17","0,89",0,0,"0,53","0,53",0,0,"0,21",0,0,0,0,0,0
Cobalto,mg/kg,0,1000000,1000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cobre,mg/kg,11,3,3,"10,5",0,"28,2","14,7","8,5",0,"4,5","2,1","19,1",0,0,15,0,0,"11,7",0,0,0
Ferro,mg/kg,55,3,3,"157,9",0,"115,4","170,1","247,7",0,"92,6","23,5","112,9",0,168,"141,9",0,0,4023,0,0,0
Ioso,mg/kg,"1,1",3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Manganes,mg/kg,77,5,5,"14,3",0,"194,5","170,3",20,0,"23,9","5,3","3,1",0,"31,7","102,7",0,0,"284,2",0,0,0
Selenio,mg/kg,"0,33",2,2,"0,58",0,"0,35",0,"0,37",0,"0,15","0,07","0,2",0,"0,34","0,31",0,0,0,0,0,0
Zinco,mg/kg,"71,5",5,5,"56,7",0,"49,8","47,7","80,8",0,"11,1","21,5","25,3",0,"44,8","134,5",0,0,"40,3",0,0,0
Vitamina_A,UI/kg,0,5,1000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vitamina_D,UI/kg,0,5,1000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vitamina_E,UI/kg,0,5,1000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vitamina_K,mg/kg,0,5,1000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vitamina_B,mg/kg,0,5,1000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vitamina_B,mg/kg,0,5,1000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ac_Nicotinico,mg/kg,0,5,1000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ac_Pantotenico,mg/kg,0,5,1000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vitamina_B,mg/kg,0,5,1000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vitamina_B,mg/kg,0,5,1000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acido_Folico,mg/kg,0,5,1000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Biotina,mg/kg,0,5,1000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Colina,mg/kg,0,5,1000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Quantidade,kg,0,5,1000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0